topic_name,stage_name,learning_objective,activities,status,comments
SQL,Novice,"Understands relational databases, can write basic SQL queries following explicit syntax rules.
May not yet understand why queries are written a particular way, just follow the rules.","1.  introductory SQL course (PG4E)
2. Learn what a table, row, column, primary key, and foreign key are and can define each in plain terms.
3. Write basic SELECT statements with FROM, WHERE, ORDER BY, and LIMIT against a sample database
4. Practice inserting, updating, and deleting rows using INSERT, UPDATE, DELETE with explicit step-by-step guidance.
5. Use a sandbox environment (e.g., SQLite, pgAdmin, or DB Fiddle) to execute queries without risk of breaking anything
6. Memorise the order of SQL execution (FROM > WHERE > GROUP BY > HAVING > ORDER BY) as a rigid rule",Completed,"Confident on all activities, fulfilling the learning objectives for novice level. 
"
SQL,Advanced Beginner,"Can combine data from multiple tables and perform aggregations. Begins to recognise different situations require different join types or aggregation approaches, but still relies on learned patterns rather than designing solutions from scratch.","1. Learn and practice INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN, with examples when each is appropriate.
2. Write aggregation queries using GROUP BY, COUNT(), SUM(), AVG(), MIN(). MAX(), and HAVING.
3. Work through exercises requiring joins across 3+ tables to answer a single question.
4. Practice writing subqueries in WHERE and SELECT clauses, recognising them as a pattern for filtering on aggregated results.
5. Complete intermediate SQL exercises on platforms like LeetCode, HackerRank, or StrataScratch (easy-level problems).
6. Begin using CASE WHEN for conditional logic — recognise it as SQL's way of handling if/then scenarios.
7. Learn basic data types (INTEGER, VARCHAR, DATE, TIMESTAMP, BOOLEAN) & why choosing correct type matters for storage & query behaviour.",Early Progress,Beginning advanced beginner learning objectives 03/06/26. Will start by adding aggregation queries and JOINS into daily practice.
SQL,Competent,Can independently design and write multi-step queries to answer business questions. Understands query performance implications and can troubleshoot failing queries. Sees the relationship between schema design and query complexity — begins to think about how data is structured before writing how to query it.,"1. Learn and use Common Table Expressances (CTEs) with WITH clauses to break complex queries into readable, logical steps.
2. Write window functions (ROW_NUMBER(), RANK(), LAG(), LEAD(), SUM() OVER()) to solve problems that require row-level context within groups.
3. Study basic normalisation (1NF, 2NF, 3NF) — understand why data is split across tables rather than stored in one flat sheet.
4. Practice reading and interpreting entity-relationship diagrams (ERDs) to understand existing database schemas.
5. Use EXPLAIN or EXPLAIN ANALYZE to inspect query execution plans and identify obvious performance issues (full table scans, missing join conditions).
6. Build a small relational database schema from scratch (e.g., a clinic booking system with patients, appointments, clinicians, and treatments) and write queries against it.
7. Learn about constraints (NOT NULL, UNIQUE, FOREIGN KEY, CHECK) and how they enforce data integrity at the database level.
8. Complete intermediate-to-hard SQL problems on LeetCode or StrataScratch, timing yourself to build fluency.",Not Started,
SQL,Proficient, Intuitively recognises query patterns and anti-patterns. Can refactor poorly written queries for readability and performance. Anticipates how schema changes will ripple through downstream queries. Begins to see the database not just as a query target but as a system with trade-offs.,"1. Study indexing in depth — understand B-tree indexes, when they help, when they don't, and the write-cost trade-off.
2. Refactor a set of messy, nested subqueries into clean CTEs and window functions — practice code review on SQL.
3. Learn about partitioning strategies (range, list, hash) and when they're appropriate for large tables.
4. Explore query optimisation techniques: materialised views, query rewriting, avoiding SELECT *, predicate pushdown.
5. Design a schema for a moderately complex domain (e.g., a healthcare analytics platform with patients, episodes, procedures, and outcomes) and justify normalisation decisions.
6. Investigate locking, concurrency, and transaction isolation levels — understand what happens when multiple processes write simultaneously.
7. Read and critique SQL from open-source dbt projects or GitHub repositories — identify what's well-written and what could be improved.
8. Begin mentoring a novice through their first SQL queries — teaching reveals gaps in your own understanding.",Not Started,
SQL,Expert,"Has deep, intuitive understanding of relational systems. Can diagnose obscure performance issues, design schemas that anticipate years of evolution, and make architectural decisions about when relational is the right choice versus alternatives. Creates standards and methodologies that others follow.","1. Design a production-grade schema for a complex domain with full consideration of normalisation, indexing strategy, partitioning, and future extensibility.
2. Tune poorly performing queries in a real production environment — use EXPLAIN ANALYZE output to identify and resolve bottlenecks systematically.
3. Evaluate whether a given workload belongs in a relational database versus a NoSQL/document store/columnar warehouse — make and defend the architectural decision.
4. Develop SQL style guides and naming conventions for a team — establish standards that improve readability and maintainability across an organisation.
5. Investigate and resolve deadlocks, race conditions, and data integrity failures in concurrent production systems.
6. Contribute to or lead database migration projects (e.g., moving from on-premise PostgreSQL to a cloud warehouse) — understand the full scope of compatibility, performance, and behavioural differences.
7. Mentor proficient practitioners through complex architectural decisions — teach not just how but why.
8. Stay current with evolving SQL standards and database engine capabilities — evaluate new features (e.g., recursive CTEs, JSONB operators, vector indexes) for practical adoption.",Not Started,
Data Modeling,Novice,Understands what data modelling is and can identify basic entities and relationships. Follows explicit rules for creating simple entity diagrams without understanding the business rationale behind structural choices.,"1. Complete an introductory course on data modelling fundamentals (e.g., ""Data Modeling"" on Coursera or similar).
2. Learn the difference between conceptual, logical, and physical data models and when each is used.
3. Identify entities, attributes, and relationships in simple business scenarios (e.g., patients, appointments, clinicians).
4. Draw basic entity-relationship diagrams (ERDs) using tools like draw.io or Lucidchart with explicit guidance.
5. Understand cardinality notation (1:1, 1:N, M:N) and apply it correctly to simple relationship diagrams.
6. Practice converting a flat spreadsheet into a basic relational structure with separate tables for distinct entities.
7. Learn the purpose of primary keys and foreign keys and how they connect tables in a diagram.",Early Progress,"1. Not started
2. Started
3. Completed
4. Not started
5. Not started
6. Completed
7. Completed"
Data Modeling,Advanced Beginner,"Can design simple dimensional models for reporting purposes. Recognises when to use star schema versus snowflake schema based on taught patterns, but still needs guidance for complex scenarios.","Learn the components of a star schema: fact tables, dimension tables, and their relationships.
Practice distinguishing between fact tables (measurable events) and dimension tables (descriptive context).
Design simple star schemas for common reporting scenarios (e.g., sales transactions, patient visits).
Learn about slowly changing dimensions (SCD Type 1 vs Type 2) and when each applies.
Create snowflake schemas by normalising dimension tables and compare them to star schema equivalents.
Work through case studies mapping business questions to dimensional model requirements.
Use modelling tools (e.g., dbdiagram.io, ER/Studio) to build and document simple dimensional models.
Practice identifying grain of a fact table — the level of detail each row represents.",Not Started,
Data Modeling,Competent,"Can independently design dimensional models for moderately complex business domains. Understands trade-offs between flexibility, query performance, and maintenance effort. Can justify modelling decisions to stakeholders.","Design a complete dimensional model for a complex domain (e.g., healthcare episode data with admissions, procedures, outcomes).
Apply SCD Type 2 logic to track historical changes in dimension data over time.
Create bridge tables to handle many-to-many relationships in dimensional models.
Learn about degenerate dimensions and when to use them instead of separate dimension tables.
Design conformed dimensions that can be shared across multiple fact tables for consistency.
Document data models with clear descriptions, business definitions, and lineage notes.
Review and critique existing dimensional models — identify weaknesses and propose improvements.
Practice translating business requirements into dimensional model specifications without direct supervision.",Not Started,
Data Modeling,Proficient," Intuitively recognises optimal modelling patterns for different analytical use cases. Anticipates how model choices will affect downstream consumption, performance, and maintenance. Can adapt standard patterns to unusual business requirements.","Design hybrid models combining star schema with custom structures for specific analytical needs.
Evaluate and implement aggregate tables to pre-calculate frequently queried metrics for performance.
Model temporal data effectively — handling point-in-time queries and historical snapshots.
Design models that accommodate future business expansion without requiring complete restructuring.
Implement data vault modelling concepts for highly scalable, auditable data warehouse layers.
Optimise dimension table sizes through denormalisation strategies where query performance demands it.
Create model documentation that serves both technical and business audiences effectively.
Lead modelling reviews for team projects — provide constructive feedback on schema design decisions.",Not Started,
Data Modeling,Expert,"Has deep, intuitive mastery of data modelling across diverse domains. Creates novel modelling approaches for complex challenges. Establishes organisational modelling standards and mentors others in advanced techniques.","Design enterprise-wide dimensional models that span multiple business units and data sources.
Develop custom modelling patterns for unique business requirements where standard approaches fail.
Architect multi-layered data warehouse designs (ODS, staging, core warehouse, mart layers) with clear governance.
Establish and enforce data modelling standards, naming conventions, and documentation requirements across an organisation.
Lead migration projects from legacy systems to modern dimensional architectures with minimal disruption.
Evaluate emerging modelling paradigms (e.g., data mesh, fabric) and determine applicability to organisational needs.
Mentor proficient practitioners through complex modelling challenges — teach strategic thinking not just techniques.
Publish or present on data modelling innovations at conferences or within professional communities.",Not Started,
