log_date,topic,hours_spent,confidence_level,notes
2026-05-11,Python,4,1,"Just started the Python Data Science course. Although I already completed the 'Python for Everyone' course, I have not yet practiced these skills, thus I'm finding it difficult to retain conceptual understanding and cannot yet verbalise understanding. "
2026-05-12,SQL,3,2,"Practiced for the first time using SQL in PostgreSQL. Practiced using 'CREATE TABLE''s, 'INSERT' commands, some JOIN use, mapping tables manually, using staging tables, moving data from one table to another, importing CSVs. I have started to execute queries in pgAdmin but yet to understand if this is in a 'sandbox' environment. To move beyond the 'novice' stage, I need further practice on writing select statements (FROM, WHERE, ORDER BY, AND LIMIT) in a simple database. I need practice on inserting, updating, and deleting rows using INSERT, UPDATE, DELETE with guidance. I must also memorise the order of SQL execution (FROM, WHERE, GROUP BY, HAVING, ORDER BY) as a rigid rule."
2026-05-12,Data Quality & Testing,1,2,"I understand the core concepts of data quality, the need for accuracy and completeness, consistency and timeliness. I also understand that data can be wrong, and as a healthcare practitioner experienced in entering data into healthcare systems, I understand how easily this happens, and why it can be inconsistent. I am able to observe data discrepancies and data anomolies in basic spreadsheets and correct them. I designed a staging table to aboid data corruption, utilising the JOIN function. To move beyond 'Novice' I am yet to gain further experience performing manual spot checks on datasets using SQL, COUNT, and DISTINCT with visual inspection, and run basic dbt schema tests (unique, not-null) on a simple model to see ho failures are reported. This may be tricky outside of an organisation but will find a way to practice the motions."
2026-05-14,SQL,3,2,"Gaining confidence using very basic SELECT statements. Starting to gain experience using INSERT and JOIN commands , helping solidfy understanding of them. Solidifying the concepts of a staging table, versus a dimension table, and mart table. "
2026-05-14,Python,3,2,"Used AI to assist in writing a 'loader' script to automate importing of a CSV of the daily log into the learning_tracker database, into the staging_daily_log table, ready for cleaning. "
2026-05-14,Data Quality & Testing,1,2,"I have some previous understanding from working in healthcare quality roles, of the importance of data accuracy. I have started to perform daily cleaning of data in a staging table using SQL, performing visual inspections and runinng basic checks."
2026-05-14,Domain Expertise,1,3,I am applying a nursing framework to the skill development by using the Benner Model to map personal learning metrics to a competency framework. I have an existing understanding of data integrity and its importance. I beginning to apply data engineering conceptual thought to existing healthcare concepts and data.
2026-05-15,SQL,3,2,"Created a mnemonic to remember the logical order of statement execution in SQL. From where goes Ben having shopped over Bens limit = FROM > WHERE > GROUP BY > HAVING > SELECT > ORDER BY > LIMIT. Today I start to include in my daily practice, the SELECT, FROM, ORDER BY, AND LIMIT statements on a daily basis with data queries. Today I utilised the UPDATE, INSERT, and DELETE statements to make manual updates to the database, as well as using the automated loader to load the CSV for practice. I now have an understanding of  the sandbox concept and have started to use this on which to practice, and have a separate 'production ready' learning tracker demonstrating develoment progress. I practiced using the INSERT, UPDATE statements with the Benner model data into the benchmarks table, and feel I understand these now but will enjoy more practice. However, it's time consuming, so think I will import the CSV from here on in. "
2026-05-15,Github,4,2,"This morning I practiced an administrative function of sync'ing the content of my Python 'loader' script on Github with the content on my local computer, after editing the public Github content."
2026-05-15,Data Modeling,1,1,"I have not yet begun the theoretical learning, so don’t yet understand the concepts, but have started to incorporate elements of data modeling into my daily practice. This currently consists of designing simple Star Schemas (staging > fact > mart) tables, creating a 3-layer architecture and having the dim_date table,  understanding the difference between raw data and enriched data. "
2026-05-15,Data Pipelines,1,1,"I have not yet performed this training, so my understanding is based on minor practice with no theoretical underpinning. I have manually executed a Python script, moving data from my local computer to Github (moving data from source to target), brining me closer to understanding the concept of an automated pipeline."
2026-05-18,Python,8,2,"Continuation of Applied Data Science with Python course, Module 2: pandas. Today it covered using pandas for data processing, the Series data structure, dataframes, indexing and loading, and missing values. I covered this ground quickly , so I am looking forward to putting this into practice to embed learning. "
2026-05-19,Python,8,2,"Continuation of Applied Data Science with Python course, Module 3: so far we have covered pandas functions merge, concatenate, and pandas idioms. These seem straight forward, and again im looking forward to putting them into practice by building on my daily practice log mini ETL."
2026-05-29,Python,8,2,Module 4 (last module) on Introduction to Data Science in Python. Challenging assignment with a few glitches and data discrepancies to account for in the script. To be continued tomorrow.
2026-06-01,Python,8,2,Module 4 of Intro to Data Science in Python continued. Support gained on overcoming glitch issues in the assignment through Stack Overflow. Assignment passed. Initial Python training now completed. Moving on next to dbt. 
2026-06-02,dbt,4,1,Started the dbt fundamentals (dbt studio) training with dbt labs. 
2026-06-03,SQL,1,3,"Benner progress matrix updated. Completed Novice learning objectives for SQL, now beginning advanced beginner level learning objectives."
2026-06-03,Data Pipelines,1,3,"A combination of dbt training and daily mini ETL pipeline practice means I am progressing in the Novice stage of Data Pipelines. Next steps are to expand use of data pipelines in daily practice to include execution of a series of scripts in the correct order, and the use of 'cron jobs' as a simple task on a local machine."
2026-06-03,Python,2,2,Now completed 2 introductory courses in Python. Using a Python script in daily practice but need much more practice on the language and libraries to increase my confidence level. Created 2nd Python loader for the Benner learning plan csv upload. Added to GitHub repo.
,,,,
